385000,2008-11-13 00:00:00Z,RH15 0SY,Flats/Maisonettes,New Build,Leasehold,THE MEADOWS,FLAT 8,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9590630000,-0.0955830000
380000,2008-11-28 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 2,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
325000,2008-10-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 40,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
320000,2008-03-10 00:00:00Z,RH15 0SW,Flats/Maisonettes,Established,Leasehold,MAPLE COURT,FLAT 18,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
350000,2008-12-05 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 28,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
460000,2008-11-17 00:00:00Z,RH15 0SY,Flats/Maisonettes,New Build,Leasehold,THE MEADOWS,FLAT 9,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9590630000,-0.0955830000
395000,2008-12-10 00:00:00Z,RH15 0SZ,Flats/Maisonettes,Established,Leasehold,MULBERRY WALK,FLAT 23,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
370000,2009-01-29 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 3,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
375000,2009-01-06 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 19,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
380000,2009-06-05 00:00:00Z,RH15 0SA,Flats/Maisonettes,New Build,Leasehold,BIRCH WALK,FLAT 25,DITCHLING COMMON,,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591060000,-0.0980020000
325000,2009-01-06 00:00:00Z,RH15 0SZ,Flats/Maisonettes,Established,Leasehold,MULBERRY WALK,FLAT 20,ST GEORGES PARK,DITCHLING COMMON,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
380000,2009-06-17 00:00:00Z,RH15 0SZ,Flats/Maisonettes,New Build,Leasehold,MULBERRY WALK,FLAT 6,DITCHLING COMMON,,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589000000,-0.0952210000
380000,2009-06-18 00:00:00Z,RH15 0SA,Flats/Maisonettes,New Build,Leasehold,BIRCH WALK,FLAT 9,DITCHLING COMMON,,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591060000,-0.0980020000
365000,2009-11-20 00:00:00Z,RH15 0SA,Flats/Maisonettes,New Build,Leasehold,BIRCH WALK,FLAT 6,DITCHLING COMMON,,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591060000,-0.0980020000
