105000,1996-12-19 00:00:00Z,SG10 6DF,Terraced,Established,Freehold,TRIMBEYS,,HADHAM CROSS,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8477830000,0.0702360000
325000,1996-08-12 00:00:00Z,SG10 6AE,Detached,Established,Freehold,7,,KETTLE GREEN,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8444610000,0.0551010000
68000,1996-08-16 00:00:00Z,SG10 6DP,Terraced,Established,Freehold,49,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
85500,1996-06-26 00:00:00Z,SG10 6BQ,Semi-Detached,Established,Freehold,35,,WINDMILL WAY,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8450330000,0.0665960000
104500,1996-12-13 00:00:00Z,SG10 6DU,Semi-Detached,Established,Freehold,HILLHEAD,4,PERRY GREEN,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8426990000,0.0836640000
214000,1996-05-16 00:00:00Z,SG10 6DE,Detached,Established,Freehold,ARDGOWAN,,HADHAM CROSS,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8487340000,0.0708280000
118800,1996-08-29 00:00:00Z,SG10 6DL,Semi-Detached,Established,Freehold,1,,SCHOOL GARDENS,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8507550000,0.0715190000
245000,1996-04-26 00:00:00Z,SG10 6BU,Detached,Established,Freehold,49,,HIGH STREET,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8549750000,0.0718870000
129000,1996-01-19 00:00:00Z,SG10 6JJ,Semi-Detached,Established,Freehold,CHURCH LANE VILLA,1,,GREEN TYE,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8458550000,0.0918380000
285000,1996-12-11 00:00:00Z,SG10 6BN,Detached,Established,Freehold,5,,MILLERS VIEW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8436570000,0.0639610000
96500,1996-01-19 00:00:00Z,SG10 6AW,Semi-Detached,Established,Freehold,1 SOUTHVIEW COTTAGES,,MALTING LANE,,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8475780000,0.0727090000
105000,1996-08-29 00:00:00Z,SG10 6AL,Semi-Detached,Established,Freehold,1,,WIGRAM COTTAGES,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8466530000,0.0696030000
49500,1996-06-14 00:00:00Z,SG10 6AF,Terraced,New Build,Freehold,2,,KETTLE GREEN COTTAGES,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8454350000,0.0534170000
385000,1996-12-16 00:00:00Z,SG10 6AX,Detached,Established,Freehold,GROVE HOUSE,,STATION ROAD,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8434490000,0.0671010000
272000,1996-02-29 00:00:00Z,SG10 6EH,Detached,Established,Freehold,HOPSHILL MOUNT,,PERRY GREEN,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8340080000,0.0905340000
575000,1996-04-26 00:00:00Z,SG10 6EP,Detached,Established,Freehold,MINGES FARM,,SOUTH END,PERRY GREEN,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8269860000,0.0833590000
69950,1996-12-17 00:00:00Z,SG10 6BS,Terraced,Established,Freehold,1,,PLUMMERS COTTAGES,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8532390000,0.0714160000
159000,1996-12-03 00:00:00Z,SG10 6DL,Detached,Established,Freehold,THE OLD SCHOOL HOUSE,,TOWER HILL,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8507550000,0.0715190000
200000,1996-08-24 00:00:00Z,SG10 6BH,Detached,New Build,Freehold,APPLECROFT,1,WINDMILL WAY,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8445040000,0.0670220000
250000,1996-10-04 00:00:00Z,SG10 6AN,Detached,New Build,Freehold,VALLEY VIEW,,CULVER COURT,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8468740000,0.0707280000
126000,1997-10-17 00:00:00Z,SG10 6DL,Semi-Detached,Established,Freehold,2,,SCHOOL GARDENS,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8507550000,0.0715190000
385000,1997-09-10 00:00:00Z,SG10 6LD,Terraced,New Build,Freehold,3,,HUNTS BARN,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8436980000,0.0856550000
156950,1997-05-23 00:00:00Z,SG10 6JJ,Semi-Detached,Established,Freehold,CHURCH LANE VILLA,1,,GREEN TYE,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8458550000,0.0918380000
305000,1997-11-04 00:00:00Z,SG10 6JJ,Detached,Established,Freehold,HIGH GABLES,,,GREEN TYE,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8458550000,0.0918380000
67500,1997-11-07 00:00:00Z,SG10 6BT,Terraced,Established,Freehold,4,,PARK TERRACE,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8525360000,0.0715000000
81000,1997-12-01 00:00:00Z,SG10 6BQ,Terraced,Established,Freehold,85,,WINDMILL WAY,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8450330000,0.0665960000
88000,1997-05-16 00:00:00Z,SG10 6AF,Terraced,Established,Freehold,2,,KETTLE GREEN COTTAGES,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8454350000,0.0534170000
79995,1997-09-12 00:00:00Z,SG10 6DP,Terraced,Established,Freehold,21,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
300000,1997-10-29 00:00:00Z,SG10 6BY,Detached,Established,Freehold,WESTBURY HOUSE,,HIGH STREET,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8564690000,0.0722870000
147000,1997-05-15 00:00:00Z,SG10 6AL,Detached,Established,Freehold,LITTLESTONE,,HADHAM CROSS,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8466530000,0.0696030000
149950,1997-12-08 00:00:00Z,SG10 6HQ,Semi-Detached,Established,Freehold,2,,NORTHEND COTTAGES,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8612250000,0.0723320000
124000,1997-10-17 00:00:00Z,SG10 6HG,Terraced,Established,Freehold,3,,WHIPROW COTTAGES,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8607480000,0.0723850000
100000,1997-12-19 00:00:00Z,SG10 6AE,Detached,Established,Freehold,KETTLE BARN,,KETTLE GREEN ROAD,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8444610000,0.0551010000
65000,1997-03-14 00:00:00Z,SG10 6BY,Terraced,New Build,Freehold,PLUMBERS COTTAGE,,HIGH STREET,,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8564690000,0.0722870000
225000,1997-05-15 00:00:00Z,SG10 6BS,Detached,Established,Freehold,WESTSIDE,,HIGH STREET,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8532390000,0.0714160000
58000,1997-12-19 00:00:00Z,SG10 6AE,Detached,Established,Freehold,THE BRICK BARN,,KETTLE GREEN ROAD,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8444610000,0.0551010000
152000,1997-10-31 00:00:00Z,SG10 6AP,Semi-Detached,Established,Freehold,1,,WHEATCROFT TERRACE,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8448610000,0.0691870000
171000,1997-10-07 00:00:00Z,SG10 6JQ,Semi-Detached,Established,Freehold,FIVE FARTHINGS,,,GREEN TYE,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8510800000,0.0987710000
249000,1997-05-01 00:00:00Z,SG10 6LD,Detached,New Build,Freehold,1,,HUNTS BARN,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8436980000,0.0856550000
370500,1997-01-31 00:00:00Z,SG10 6BA,Detached,New Build,Freehold,WYNCHES BARN,,,,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8402150000,0.0612920000
109000,1997-09-10 00:00:00Z,SG10 6DF,Semi-Detached,Established,Freehold,COPPER KETTLE,,HADHAM CROSS,,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8477830000,0.0702360000
119950,1997-12-12 00:00:00Z,SG10 6AP,Terraced,Established,Freehold,2,,WHEATCROFT TERRACE,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8448610000,0.0691870000
71500,1997-07-10 00:00:00Z,SG10 6DP,Terraced,Established,Freehold,7,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
215000,1997-10-03 00:00:00Z,SG10 6BH,Detached,Established,Freehold,APPLECROFT,2,WINDMILL WAY,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8445040000,0.0670220000
186000,1997-08-18 00:00:00Z,SG10 6AP,Detached,Established,Freehold,LAURELDENE,1,HADHAM CROSS,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8448610000,0.0691870000
190000,1997-01-20 00:00:00Z,SG10 6BS,Detached,Established,Freehold,WESTSIDE,,HIGH STREET,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8532390000,0.0714160000
310000,1997-05-30 00:00:00Z,SG10 6BN,Detached,Established,Freehold,4,,MILLERS VIEW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8436570000,0.0639610000
77950,1997-07-23 00:00:00Z,SG10 6DP,Terraced,Established,Freehold,35,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
125000,1997-12-10 00:00:00Z,SG10 6JD,Detached,Established,Freehold,ELMTREE COTTAGE,,,GREEN TYE,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8512260000,0.1082450000
