65000,2012-03-28 00:00:00Z,L11 6LT,Terraced,Established,Freehold,5,,WICKET CLOSE,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4611310000,-2.8916790000
58500,2012-01-31 00:00:00Z,L11 0AA,Terraced,Established,Freehold,4,,TOTNES ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4604120000,-2.8988930000
72500,2012-07-12 00:00:00Z,L11 6LF,Terraced,Established,Freehold,111,,PARKVIEW ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610750000,-2.8908340000
39500,2012-06-20 00:00:00Z,L11 0AF,Semi-Detached,Established,Leasehold,95,,PETHERICK ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4616600000,-2.8967200000
53800,2012-08-20 00:00:00Z,L11 0AB,Terraced,Established,Freehold,1,,OTTERTON ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4612060000,-2.8985180000
55000,2012-04-04 00:00:00Z,L11 6LS,Terraced,Established,Freehold,54,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4601050000,-2.8919430000
75000,2012-11-08 00:00:00Z,L11 0AB,Semi-Detached,Established,Freehold,11,,OTTERTON ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4612060000,-2.8985180000
36000,2012-02-01 00:00:00Z,L11 0AB,Semi-Detached,Established,Freehold,11,,OTTERTON ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4612060000,-2.8985180000
58000,2012-03-28 00:00:00Z,L11 0AN,Terraced,Established,Freehold,26,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614080000,-2.8943050000
53000,2012-03-02 00:00:00Z,L11 0AF,Terraced,Established,Leasehold,99,,PETHERICK ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4616600000,-2.8967200000
50000,2013-01-28 00:00:00Z,L11 0DF,Terraced,Established,Leasehold,32,,NEWDOWN ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4600550000,-2.8961290000
80000,2013-02-28 00:00:00Z,L11 6LP,Terraced,Established,Freehold,49,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610490000,-2.8931080000
58000,2013-12-04 00:00:00Z,L11 0AS,Terraced,Established,Leasehold,15,,CREDITON CLOSE,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Additional,Addition,53.4614290000,-2.8987040000
70000,2014-12-18 00:00:00Z,L11 6LP,Terraced,Established,Freehold,53,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Additional,Addition,53.4610490000,-2.8931080000
73000,2014-08-29 00:00:00Z,L11 0AD,Terraced,Established,Freehold,19,,NEWLYN ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4603160000,-2.8960600000
78000,2014-09-30 00:00:00Z,L11 6LS,Terraced,Established,Freehold,68,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4601050000,-2.8919430000
69950,2015-05-21 00:00:00Z,L11 0AF,Terraced,Established,Freehold,91,,PETHERICK ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4616600000,-2.8967200000
50000,2015-10-19 00:00:00Z,L11 0AP,Terraced,Established,Leasehold,131,,PARKVIEW ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4620770000,-2.8938220000
55000,2015-06-16 00:00:00Z,L11 0AQ,Semi-Detached,Established,Freehold,90,,PETHERICK ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614200000,-2.8963990000
64000,2016-09-22 00:00:00Z,L11 0AJ,Terraced,Established,Freehold,5,,MALPAS ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610210000,-2.8956530000
69950,2016-09-07 00:00:00Z,L11 0AD,Terraced,Established,Freehold,18,,NEWLYN ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4603160000,-2.8960600000
66000,2016-11-08 00:00:00Z,L11 6LS,Terraced,Established,Freehold,70,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Additional,Addition,53.4601050000,-2.8919430000
75000,2017-06-26 00:00:00Z,L11 0AJ,Terraced,Established,Freehold,1,,MALPAS ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610210000,-2.8956530000
95000,2017-09-09 00:00:00Z,L11 0AA,Terraced,Established,Freehold,4,,TOTNES ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4604120000,-2.8988930000
65000,2017-09-07 00:00:00Z,L11 6LT,Terraced,Established,Freehold,11,,WICKET CLOSE,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Additional,Addition,53.4611310000,-2.8916790000
75000,2017-03-30 00:00:00Z,L11 0AF,Terraced,Established,Freehold,113,,PETHERICK ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4616600000,-2.8967200000
77000,2017-10-27 00:00:00Z,L11 0AH,Terraced,Established,Freehold,4,,NEWLYN WALK,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4604150000,-2.8949470000
