189950,2004-12-23 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,6,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
270000,2004-07-29 00:00:00Z,TN24 0PZ,Terraced,New Build,Freehold,33,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
137500,2004-05-28 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,60,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
219950,2004-12-23 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,10,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
195000,2004-12-31 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,16,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
133500,2004-06-30 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,11,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
223995,2004-06-30 00:00:00Z,TN24 0GX,Semi-Detached,New Build,Freehold,49,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
140000,2004-06-14 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,54,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
185000,2004-06-28 00:00:00Z,TN24 0QZ,Terraced,New Build,Freehold,57,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291650000,0.8836700000
179995,2004-05-28 00:00:00Z,TN24 0GX,Terraced,New Build,Freehold,43,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
240000,2004-10-22 00:00:00Z,TN24 0PZ,Terraced,New Build,Freehold,28,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
134600,2004-04-26 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,65,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
142750,2004-07-30 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,2,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
126000,2004-07-30 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,1,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
135500,2004-03-25 00:00:00Z,TN24 0GU,Flats/Maisonettes,New Build,Leasehold,131,,EARLSWORTH ROAD,WILLESBOROUGH,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1297960000,0.8817830000
133000,2004-02-27 00:00:00Z,TN24 0GU,Flats/Maisonettes,New Build,Leasehold,121,,EARLSWORTH ROAD,WILLESBOROUGH,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1297960000,0.8817830000
124500,2004-03-26 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,67,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
135300,2004-03-25 00:00:00Z,TN24 0GU,Flats/Maisonettes,New Build,Leasehold,111,,EARLSWORTH ROAD,WILLESBOROUGH,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1297960000,0.8817830000
165000,2004-02-26 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,38,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
143000,2004-07-26 00:00:00Z,TN24 0GU,Flats/Maisonettes,New Build,Leasehold,123,,EARLSWORTH ROAD,WILLESBOROUGH,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1297960000,0.8817830000
145750,2004-07-23 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,8,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
132000,2004-06-28 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,51,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
152500,2004-09-30 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,18,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
260000,2004-12-24 00:00:00Z,TN24 0PZ,Terraced,New Build,Freehold,36,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
141000,2004-05-28 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,66,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
249999,2004-12-10 00:00:00Z,TN24 0SX,Terraced,New Build,Freehold,42,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
197000,2004-03-24 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,40,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
125500,2004-02-16 00:00:00Z,TN24 0QT,Flats/Maisonettes,New Build,Leasehold,13,,JACOBS OAK,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1299410000,0.8832040000
