32000,1995-10-31 00:00:00Z,MK43 9AH,Semi-Detached,Established,Leasehold,THE ELMS,FLAT 3,WOBURN ROAD,KEMPSTON HARDWICK,BEDFORD,NORTH BEDFORDSHIRE,BEDFORDSHIRE,Standard,Addition,52.0966570000,-0.5107220000
294995,2016-08-31 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,9,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
219995,2016-08-26 00:00:00Z,MK43 9FX,Semi-Detached,New Build,Freehold,3,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
294995,2016-08-26 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,7,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
289950,2016-10-31 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,85,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
489995,2016-10-25 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,2,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
294950,2016-10-28 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,83,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
400000,2016-03-18 00:00:00Z,MK43 9AZ,Detached,Established,Freehold,5,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
215950,2017-12-21 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,3,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
306950,2017-12-20 00:00:00Z,MK43 9PU,Detached,New Build,Freehold,7,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
243950,2017-12-21 00:00:00Z,MK43 9AQ,Semi-Detached,New Build,Freehold,54,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
