800000,1995-03-31 00:00:00Z,SG4 7BN,Detached,Established,Freehold,GRAVELEY HILL COTTAGE,,CHURCH LANE,GRAVELEY,HITCHIN,NORTH HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.9360830000,-0.1874000000
110000,2000-06-23 00:00:00Z,SG1 3XU,Semi-Detached,New Build,Freehold,9,,KENNETT WAY,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
161950,2000-12-15 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,7,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
189950,2000-12-20 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,8,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
97450,2000-11-24 00:00:00Z,SG1 3YN,Terraced,New Build,Freehold,4,,RYE CLOSE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
87500,2000-06-23 00:00:00Z,SG1 3XU,Semi-Detached,New Build,Freehold,7,,KENNETT WAY,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
202000,2000-12-20 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,15,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
187500,2000-08-25 00:00:00Z,SG1 3XX,Detached,New Build,Freehold,9,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
108500,2000-08-04 00:00:00Z,SG1 3XU,Semi-Detached,New Build,Freehold,10,,KENNETT WAY,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
82500,2000-04-07 00:00:00Z,SG1 3XT,Terraced,New Build,Freehold,4,,ORWELL AVENUE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
189950,2000-12-15 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,6,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
189950,2000-11-07 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,1,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
