469000,2017-06-30 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,31,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
479000,2017-06-20 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,15,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
305750,2017-06-30 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,11,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
298000,2017-06-30 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,7,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
290000,2017-06-30 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,3,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
290995,2017-06-23 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 6,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
312000,2017-06-29 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,5,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
293000,2017-06-29 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,1,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
449000,2017-07-28 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,33,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
529000,2017-07-27 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,35,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
307500,2018-06-06 00:00:00Z,RG40 1JZ,Flats/Maisonettes,Established,Leasehold,FOXLEYES COURT,FLAT 7,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
310000,2018-06-15 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,220,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
312000,2018-06-14 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,226,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
318000,2018-06-21 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,53,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
297000,2018-06-22 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,218,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
305000,2018-06-22 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,55,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
