1035000,2013-12-02 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B2-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
963925,2013-12-11 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C4-6,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
740000,2013-12-05 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C2-7,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
875000,2013-12-12 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C5-7,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
475000,2013-12-19 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A2-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5360130000,-0.1226870000
805000,2013-12-02 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C3-6,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
870000,2013-12-18 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A3-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
499999,2013-12-10 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A4-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5360130000,-0.1226870000
855000,2013-12-11 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C6-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
2850000,2013-11-29 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A7-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
