289950,2016-04-22 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,45,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
289950,2016-04-07 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,39,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
289950,2016-04-22 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,43,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
289950,2016-04-22 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,41,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
319950,2016-02-19 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,29,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
309950,2016-06-24 00:00:00Z,SP2 0FA,Semi-Detached,New Build,Freehold,69,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
32673358,2017-11-27 00:00:00Z,SP2 0FH,Other,Established,Freehold,4,,FRAMPTON COURT,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Additional,Addition,51.0860140000,-1.8499680000
409950,2017-02-24 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,22,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
437950,2017-03-08 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,20,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
417950,2017-03-23 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,18,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
429950,2017-03-31 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,12,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
459950,2017-03-31 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,14,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
429950,2017-03-31 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,16,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
624950,2017-06-16 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,28,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
405000,2017-11-13 00:00:00Z,SP2 0FA,Detached,Established,Freehold,77,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
434950,2017-01-25 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,24,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
434950,2017-04-07 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,26,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
624950,2017-03-10 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,32,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
385000,2018-05-18 00:00:00Z,SP2 0FA,Detached,Established,Freehold,27,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
300000,2018-12-20 00:00:00Z,SP2 0FA,Semi-Detached,Established,Freehold,63,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
455000,2018-08-21 00:00:00Z,SP2 0FA,Detached,Established,Freehold,12,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
675000,2018-10-08 00:00:00Z,SP2 0FA,Detached,Established,Freehold,60,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
474950,2019-06-28 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,2,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
479950,2020-02-03 00:00:00Z,SP2 0FA,Detached,New Build,Freehold,1,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
315000,2020-08-07 00:00:00Z,SP2 0FA,Semi-Detached,Established,Freehold,57,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
408500,2020-04-24 00:00:00Z,SP2 0FA,Detached,Established,Freehold,19,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
652500,2020-08-17 00:00:00Z,SP2 0FA,Detached,Established,Freehold,30,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
307500,2021-01-08 00:00:00Z,SP2 0FA,Terraced,Established,Freehold,47,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
467500,2021-04-19 00:00:00Z,SP2 0FA,Detached,Established,Freehold,4,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
540000,2021-06-30 00:00:00Z,SP2 0FA,Detached,Established,Freehold,22,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
750000,2021-07-30 00:00:00Z,SP2 0FA,Detached,Established,Freehold,28,,OAKLEY ROAD,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0858270000,-1.8495450000
132500,2022-04-01 00:00:00Z,SP2 0FH,Terraced,Established,Leasehold,2,,FRAMPTON COURT,WILTON,SALISBURY,WILTSHIRE,WILTSHIRE,Standard,Addition,51.0860140000,-1.8499680000
