229995,2018-02-23 00:00:00Z,TS22 5FQ,Semi-Detached,New Build,Freehold,25,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
334995,2018-07-27 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,13,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
324995,2018-03-26 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,3,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
280202,2018-11-30 00:00:00Z,TS22 5FJ,Detached,New Build,Freehold,20,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
299995,2019-02-22 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,43,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
399995,2019-03-29 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,14,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
299995,2019-03-29 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,47,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
369995,2019-03-15 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,45,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
399995,2019-04-26 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,12,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
305000,2019-04-26 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,55,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
284950,2019-01-31 00:00:00Z,TS22 5FJ,Detached,Established,Freehold,9,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
264950,2019-10-10 00:00:00Z,TS22 5FL,Detached,New Build,Freehold,5,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
264950,2019-09-27 00:00:00Z,TS22 5FL,Detached,Established,Freehold,4,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
309950,2019-01-18 00:00:00Z,TS22 5FJ,Detached,Established,Freehold,11,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
379950,2019-01-24 00:00:00Z,TS22 5FJ,Detached,Established,Freehold,15,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
369995,2019-09-26 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,51,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
205000,2019-04-05 00:00:00Z,TS22 5FQ,Semi-Detached,Established,Freehold,28,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
399995,2019-03-29 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,53,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
299995,2019-03-28 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,5,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
249995,2019-09-26 00:00:00Z,TS22 5FQ,Semi-Detached,Established,Freehold,23,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Additional,Addition,54.6404740000,-1.3278630000
399950,2019-03-29 00:00:00Z,TS22 5FJ,Detached,New Build,Freehold,14,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
339950,2019-01-11 00:00:00Z,TS22 5FJ,Detached,New Build,Freehold,10,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
316950,2019-10-25 00:00:00Z,TS22 5FL,Detached,Established,Freehold,6,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
540000,2019-03-29 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,1,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
369995,2019-05-24 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,57,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
292950,2019-11-22 00:00:00Z,TS22 5FL,Detached,Established,Freehold,10,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
319950,2019-04-26 00:00:00Z,TS22 5FJ,Detached,New Build,Freehold,23,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
334950,2019-06-27 00:00:00Z,TS22 5FJ,Detached,New Build,Freehold,18,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
359950,2019-03-01 00:00:00Z,TS22 5FJ,Detached,New Build,Freehold,17,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
